Date,Open,High,Low,Close,Adj Close,Volume,Days to Next Earnings,Previous Reported EPS,Previous Surprise Earning,Close_Open Prev_Next Day %,5_day_avg,10_day_avg,20_day_avg,daily_return,Bollinger_Upper,Bollinger_Lower,RSI,MACD,Signal_Line,Historical_Volatility,OpenVolume,AMD_Open,AMD_High,AMD_Low,AMD_Close,AMD_Adj_Close,AMD_Volume,AMD_Close_Open Prev_Next Day %,AMD_Daily_Return,NASDAQ_Open,NASDAQ_High,NASDAQ_Low,NASDAQ_Close,NASDAQ_Adj_Close,NASDAQ_Volume,NASDAQ_Close_Open Prev_Next Day %,NASDAQ_Daily_Return,Stock rise for the next day?
2001-01-31,2.177083,2.260417,2.104167,2.151042,1.973422,35834400,15,0.01,+9.38,0.0,2.1244792,2.1675782,1.97838545,-1.0778213999767305,2.426626566990668,1.5301443330093318,60.08621454458302,0.19749542407154275,0.20356721732582972,,78014463.05520001,23.65,25.1,23.65,24.6,24.6,9727500,2.845524390243895,2.4146544546211457,2848.110107,2872.469971,2772.350098,2772.72998,2772.72998,2277310000,-0.04183285095796009,-2.3119106429554948,True
2001-02-01,2.151042,2.177083,2.057292,2.162109,1.983574,37185600,14,0.01,+9.38,0.09037472208847987,2.1464844,2.1609375,2.0049805000000003,0.5144948355262358,2.428686292293861,1.5812747077061398,55.92573394968268,0.1897358403256244,0.20080094192578868,9.988980107715927,79987787.3952,25.299999,26.49,24.959999,25.709999,25.709999,12460700,-0.2333683482445925,4.512191056910564,2771.570068,2796.889893,2742.439941,2782.790039,2782.790039,1776260000,0.005027077071552977,0.36282144574351083,False
2001-02-02,2.164063,2.213542,1.9375,1.953125,1.791847,32052000,13,0.01,+9.38,-0.1333248000000026,2.1136717999999997,2.1393229,2.01175135,-9.665747656570511,2.42710217392461,1.59640052607539,49.83037554489576,0.164823074253174,0.19360536839126574,8.122953548624421,69362547.27600001,25.65,26.1,23.889999,23.889999,23.889999,8059600,-1.046462999014776,-7.078957879383818,2782.929932,2791.580078,2660.110107,2660.5,2660.5,1706900000,-0.7836909603457956,-4.394511885055663,False
2001-02-05,1.950521,1.963542,1.835938,1.950521,1.789458,36758400,10,0.01,+9.38,-1.8691416293390268,2.0782552,2.1260417,2.03199875,-0.1333248000000009,2.3867203504159193,1.6772771495840806,55.268095497845195,0.14321847320777037,0.18352798935456668,7.772675546101683,71698031.1264,23.639999,24.040001,22.959999,24.0,24.0,6054000,-1.0416666666666665,0.460447905418504,2639.649902,2656.02002,2596.72998,2643.209961,2643.209961,1648760000,-0.04918447717668633,-0.6498793084006804,True
2001-02-06,1.914063,2.0,1.909505,1.960938,1.799015,25044000,9,0.01,+9.38,-0.664018954194379,2.035547,2.0930339,2.0454102499999998,0.5340624376769076,2.3646245044198,1.7261959955801993,53.42801565786189,0.12549065787923186,0.17192052305949973,6.905465189538295,47935793.772,23.75,24.700001,23.75,24.049999,24.049999,4137500,-1.4552931998042884,0.20832916666666534,2641.909912,2705.590088,2640.22998,2664.48999,2664.48999,1788920000,-1.8221141450037854,0.8050828089324114,False
2001-02-07,1.947917,1.963542,1.765625,1.869792,1.715396,72038400,8,0.01,+9.38,0.5570673101607132,1.979297,2.0518881,2.0525717,-4.648081683357663,2.3471424812880857,1.7580009187119143,33.10853698733342,0.10290034492520084,0.15811648743263995,6.758938069240623,140324824.01279998,23.700001,24.209999,23.059999,23.57,23.57,3804200,1.7394993635977944,-1.9958379208248611,2615.939941,2636.070068,2554.76001,2607.820068,2607.820068,2056920000,0.6886963261147824,-2.126858130925091,False
2001-02-08,1.880208,1.986979,1.851563,1.859375,1.705839,38428800,7,0.01,+9.38,-0.8403361344537815,1.9187502000000003,2.0326173,2.05322275,-0.5571207920453181,2.345926116071936,1.7605193839280644,34.70437956924923,0.08319774252617118,0.14313273845134622,6.757102150724231,72254137.1904,23.98,24.75,23.700001,24.0,24.0,6493300,-0.20832916666666534,1.824352991090361,2625.780029,2651.840088,2562.02002,2562.060059,2562.060059,1852360000,-0.7735989221008296,-1.7547226344912126,True
2001-02-09,1.84375,1.856771,1.778646,1.846354,1.693893,25960800,6,0.01,+9.38,-1.1283318366900443,1.897396,2.0055338999999996,2.04554045,-0.7002890756302449,2.3518733103659573,1.7392075896340426,37.39614192031741,0.06577439600241664,0.12766106996156032,6.6005767277641345,47865225.0,23.950001,24.799999,23.799999,24.370001,24.370001,7598400,-4.185477875031672,1.5416708333333196,2542.23999,2542.620117,2455.870117,2470.969971,2470.969971,1881910000,-0.4985924209760409,-3.5553455384474186,False
2001-02-12,1.825521,1.846354,1.708333,1.796875,1.6485,35433600,3,0.01,+9.38,1.8840486956521767,1.8666668000000002,1.9724609999999998,2.0374675499999997,-2.6798219626355535,2.36147699877871,1.7134581012212893,18.401306559270296,0.047427017432496,0.11161425945574746,6.355776112885289,64684780.9056,23.35,24.719999,23.309999,24.0,24.0,4295400,0.0,-1.5182641970347022,2458.649902,2508.27002,2435.360107,2489.659912,2489.659912,1751220000,0.8507256713221257,0.7563807419495472,True
2001-02-13,1.830729,1.9375,1.809896,1.851563,1.698672,46773600,2,0.01,+9.38,-1.2658494471967774,1.8447918,1.9401694000000003,2.0398112999999998,3.0435060869565156,2.3573443578053244,1.7222782421946752,24.015780886598478,0.03687438730013648,0.09666628502462526,6.383226636466343,85629785.9544,24.0,24.58,23.799999,24.01,24.01,3398900,-0.04164931278634553,0.04166666666667318,2510.840088,2554.649902,2427.469971,2427.719971,2427.719971,1728550000,0.41025987836222405,-2.4878876308147,True
